abandoned,əˈbændənd
fourteen,ˈfɔɹˈtin
fourteenth,ˈfɔɹˈtinθ
fourth,ˈfɔɹθ
fractional,ˈfɹækʃənəɫ
fractious,ˈfɹækʃəs
fragile,ˈfɹædʒəɫ
frail,ˈfɹeɪɫ
frank,ˈfɹæŋk
frantic,ˈfɹæntɪk
fraternal,fɹəˈtɝnəɫ
fraught,ˈfɹɔt
frayed,ˈfɹeɪd
freckled,ˈfɹɛkəɫd
free,ˈfɹi
freehand,ˈfɹiˌhænd
freestanding,ˈfɹiˌstændɪŋ
freewheeling,ˈfɹiˌwiɫɪŋ
frenzied,ˈfɹɛnzid
frequent,ˈfɹiˌkwɛnt
fresh,ˈfɹɛʃ
fretful,ˈfɹɛtfəɫ
fretted,ˈfɹɛtɪd
frictionless,ˈfɹɪkʃənɫəs
fried,ˈfɹaɪd
friendly,ˈfɹɛndɫi
frightened,ˈfɹaɪtənd
frightful,ˈfɹaɪtfəɫ
frigid,ˈfɹɪdʒəd
frivolous,ˈfɹɪvəɫəs
front,ˈfɹənt
frontal,ˈfɹəntəɫ
frosted,ˈfɹɔstəd
frosty,ˈfɹɔsti
frowning,ˈfɹaʊnɪŋ
frozen,ˈfɹoʊzən
fruiting,ˈfɹutɪŋ
fruity,ˈfɹuti
frustrating,ˈfɹəsˌtɹeɪtɪŋ
fulfilled,fʊɫˈfɪɫd
full,ˈfʊɫ
functional,ˈfəŋkʃənəɫ
fundamental,ˌfəndəˈmɛnəɫ
fundamentalist,ˌfəndəˈmɛnəɫɪst
funerary,ˈfjunɝˌɛɹi
fungal,ˈfəŋɡəɫ
funky,ˈfəŋki
funny,ˈfəni
furrowed,ˈfɝoʊd
further,ˈfɝðɝ
fusible,ˈfjuzəbəɫ
fusty,ˈfəsˌti
futile,ˈfjutəɫ
future,ˈfjutʃɝ
futuristic,ˌfjutʃɝˈɪstɪk
fuzzy,ˈfəzi
gabled,ˈɡeɪbəɫd
gainful,ˈɡeɪnfəɫ
galactic,ɡəˈɫæktɪk
gallant,ˈɡæɫənt
galore,ɡəˈɫɔɹ
game,ˈɡeɪm
garlicky,ˈɡɑɹɫɪki
garnished,ˈɡɑɹnɪʃt
gaseous,ˈɡæsiəs
gastric,ˈɡæstɹɪk
gastrointestinal,ˌɡæstɹoʊɪnˈtɛstənəɫ
gastronomic,ɡəˌstɹɑˈnɑmɪk
gawky,ˈɡɔki
gay,ˈɡeɪ
gelatinous,dʒəˈɫætənəs
general,ˈdʒɛnɝəɫ
generalized,ˈdʒɛnɝəˌɫaɪzd
generational,ˌdʒɛnɝˈeɪʃənəɫ
generative,ˈdʒɛnɝətɪv
generic,dʒəˈnɛɹɪk
generous,ˈdʒɛnɝəs
genetic,dʒəˈnɛtɪk
genial,ˈdʒinjəɫ
genital,ˈdʒɛnətəɫ
gentile,ˈdʒɛnˌtaɪɫ
gentle,ˈdʒɛnəɫ
genuine,ˈdʒɛnˈjuˌwaɪn
geodetic,ˌdʒiəˈdɛtɪk
geographic,ˌdʒiəˈɡɹæfɪk
geological,ˌdʒiəˈɫɑdʒɪkəɫ
geometric,ˌdʒiəˈmɛtɹɪk
geophysical,ˌdʒioʊˈfɪzəkəɫ
geopolitical,ˌdʒioʊpəˈɫɪtɪkəɫ
geothermal,ˌdʒioʊˈθɝməɫ
geriatric,ˌdʒɛɹiˈætɹɪk
germane,dʒɝˈmeɪn
ghastly,ˈɡæstɫi
ghoulish,ˈɡuɫɪʃ
gigantic,dʒaɪˈɡænɪk
gilded,ˈɡɪɫdɪd
ginger,ˈdʒɪndʒɝ
gingerly,ˈdʒɪndʒɝɫi
gingery,ˈdʒɪndʒɝi
girlish,ˈɡɝɫɪʃ
given,ˈɡɪvən
glacial,ˈɡɫeɪʃəɫ
glad,ˈɡɫæd
glandular,ˈɡɫændʒəɫɝ
glassy,ˈɡɫæsi
glazed,ˈɡɫeɪzd
glib,ˈɡɫɪb
glistening,ˈɡɫɪsənɪŋ
global,ˈɡɫoʊbəɫ
gloomy,ˈɡɫumi
glorious,ˈɡɫɔɹiəs
glottal,ˈɡɫɑtəɫ
gloved,ˈɡɫəvd
glued,ˈɡɫud
glum,ˈɡɫəm
gluttonous,ˈɡɫətənəs
gnarled,ˈnɑɹɫd
gnomic,ˈnoʊmɪk
godless,ˈɡɑdɫəs
godly,ˈɡɑdɫi
going,ˈɡoʊɪn
gold,ˈɡoʊɫd
golden,ˈɡoʊɫdən
gone,ˈɡɔn
good,ˈɡʊd
goodly,ˈɡʊdɫi
gooey,ˈɡui
gorgeous,ˈɡɔɹdʒəs
gory,ˈɡɔɹi
gouty,ˈɡaʊti
governing,ˈɡəvɝnɪŋ
governmental,ˈɡəvɝˌmɛntəɫ
graceless,ˈɡɹeɪsɫəs
gracile,ˈɡɹæsəɫ
gracious,ˈɡɹeɪʃəs
graded,ˈɡɹeɪdəd
gradual,ˈɡɹædʒuəɫ
graduate,ˈɡɹædʒəˌweɪt
grammatical,ɡɹəˈmætəkəɫ
grand,ˈɡɹænd
grandiloquent,ɡɹænˈdɪɫəkwənt
grandiose,ˈɡɹændiˌoʊs
granitic,ɡɹəˈnɪtɪk
graphic,ˈɡɹæfɪk
grasslike,ˈɡɹæsˌɫaɪk
grassroots,ˈɡɹæsˈɹuts
grassy,ˈɡɹæsi
grateful,ˈɡɹeɪtfəɫ
gratified,ˈɡɹætəˌfaɪd
gratifying,ˈɡɹætəˌfaɪɪŋ
grating,ˈɡɹeɪtɪŋ
gratuitous,ɡɹəˈtuətəs
grave,ˈɡɹeɪv
graven,ˈɡɹeɪvən
gravitational,ˌɡɹævɪˈteɪʃənəɫ
grazed,ˈɡɹeɪzd
greasy,ˈɡɹisi
great,ˈɡɹeɪt
greater,ˈɡɹeɪtɝ
greatest,ˈɡɹeɪtəst
greedy,ˈɡɹidi
green,ˈɡɹin
greenhouse,ˈɡɹinˌhaʊs
gregarious,ɡɹəˈɡɛɹiəs
grey,ˈɡɹeɪ
grievous,ˈɡɹivəs
grim,ˈɡɹɪm
grizzled,ˈɡɹɪzəɫd
groomed,ˈɡɹumd
groping,ˈɡɹoʊpɪŋ
gross,ˈɡɹoʊs
grouped,ˈɡɹupt
growing,ˈɡɹoʊɪŋ
grubby,ˈɡɹəbi
grudging,ˈɡɹədʒɪŋ
gruff,ˈɡɹəf
grumbling,ˈɡɹəmbəɫɪŋ
guarded,ˈɡɑɹdəd
gubernatorial,ɡuˌbɝnəˈtɔˌɹiəɫ
guided,ˈɡaɪdəd
guiding,ˈɡaɪdɪŋ
guileless,ˈɡaɪɫɫəs
guilty,ˈɡɪɫti
gullible,ˈɡəɫəbəɫ
gummed,ˈɡəmd
gushing,ˈɡəʃɪŋ
gusty,ˈɡəsti
gutless,ˈɡətɫɛs
gutsy,ˈɡətˈsi
guttural,ˈɡətɝəɫ
gymnastic,dʒɪmˈnæstɪk
gynecological,ˌɡaɪnəkəˈɫɑdʒɪkəɫ
gyroscopic,ˌdʒaɪɹəˈskɑpɪk
habitable,ˈhæbətəbəɫ
habitual,həˈbɪtʃuəɫ
hairless,ˈhɛɹɫəs
hairy,ˈhɛɹi
halcyon,ˈhæɫsiən
hale,ˈheɪɫ
half,ˈhæf
halfway,ˈhæfˈweɪ
hallowed,ˈhæɫoʊd
hallucinatory,həˈɫusənəˌtɔɹi
hallucinogenic,həˌɫusənəˈdʒɛnɪk
halting,ˈhɔɫtɪŋ
hammered,ˈhæmɝd
handed,ˈhændəd
handled,ˈhændəɫd
handmade,ˈhænˈmeɪd
handwritten,ˈhænˌdɹɪtən
handy,ˈhændi
haphazard,hæpˈhæzɝd
haploid,ˈhæpɫɔɪd
happy,ˈhæpi
hard,ˈhɑɹd
hardened,ˈhɑɹdənd
hardheaded,ˈhɑɹdˌhɛdɪd
hardworking,ˈhɑɹdˌwɝkɪŋ
hardy,ˈhɑɹdi
harebrained,ˈhɛɹˌbɹeɪnd
harmful,ˈhɑɹmfəɫ
harmless,ˈhɑɹmɫəs
harmonic,hɑɹˈmɑnɪk
harmonious,hɑɹˈmoʊniəs
harnessed,ˈhɑɹnəst
harsh,ˈhɑɹʃ
hasty,ˈheɪsti
hatched,ˈhætʃt
hateful,ˈheɪtfəɫ
haunted,ˈhɔntɪd
haunting,ˈhɔntɪŋ
hazardous,ˈhæzɝdəs
hazel,ˈheɪzəɫ
headed,ˈhɛdəd
headfirst,ˈhɛdˈfɝst
headless,ˈhɛdɫəs
healthful,ˈhɛɫθfəɫ
healthy,ˈhɛɫθi
heard,ˈhɝd
hearing,ˈhiɹɪŋ
hearsay,ˈhiɹˌseɪ
heartless,ˈhɑɹtɫəs
heartwarming,ˈhɑɹtˌwɔɹmɪŋ
hearty,ˈhɑɹti
heated,ˈhitəd
heathen,ˈhiðən
heavenly,ˈhɛvənɫi
heavy,ˈhɛvi
hedged,ˈhɛdʒd
hedonic,həˈdɑnɪk
hefty,ˈhɛfti
heightening,ˈhaɪtənɪŋ
held,ˈhɛɫd
helpful,ˈhɛɫpfəɫ
helpless,ˈhɛɫpɫəs
hemispheric,ˌhɛməsˈfɪɹɪk
hemodynamic,ˌhɛmoʊdaɪˈnæmɪk
hemolytic,ˌhiməˈɫɪtɪk
hemorrhagic,ˌhɛmɝˈæɡɪk
hempen,ˈhɛmpən
hep,ˈhɛp
hepatic,həˈpætɪk
heralded,ˈhɛɹəɫdɪd
heraldic,hɛˈɹæɫdɪk
herbaceous,ɝˈbeɪʃəs
herbal,ˈɝbəɫ
herbivorous,ɝˈbɪvɝəs
herculean,hɝkˈjuɫiən
here,ˈhiɹ
hermaphroditic,hɝˌmæfɹəˈdɪtɪk
heroic,hɪˈɹoʊɪk
hesitant,ˈhɛzɪtənt
heterocercal,ˌhɛtɝoʊˈsɝkəɫ
heterodyne,ˈhɛtɝəˌdaɪn
heterogeneous,ˌhɛtɝəˈdʒinjəs
heterosexual,ˌhɛtɝoʊˈsɛkʃəwəɫ
heterosporous,ˌhɛtɝˈɑspɝəs
heterotrophic,ˌhɛtɝəˈtɹɑfɪk
heterozygous,ˌhɛtɝəˈzaɪɡəs
heuristic,hjʊˈɹɪstɪk
hewn,ˈhjun
hidden,ˈhɪdən
hidebound,ˈhaɪdˌbaʊnd
hideous,ˈhɪdiəs
hierarchical,ˌhaɪˈɹɑɹkəkəɫ
hieroglyphic,ˌhaɪɹoʊˈɡɫɪfɪk
high,ˈhaɪ
highbrow,ˈhaɪˌbɹaʊ
higher,ˈhaɪɝ
highflying,ˈhaɪˌfɫaɪɪŋ
hilarious,hɪˈɫɛɹiəs
historic,hɪˈstɔɹɪk
historical,hɪˈstɔɹɪkəɫ
histrionic,ˌhɪstɹiˈɑnɪk
hoary,ˈhɔɹi
holistic,hoʊˈɫɪstɪk
hollow,ˈhɑɫoʊ
holographic,ˌhɑɫəˈɡɹæfɪk
holy,ˈhoʊɫi
home,ˈhoʊm
homebound,ˈhoʊmˌbaʊnd
homeless,ˈhoʊmɫəs
homelike,ˈhoʊmˌɫaɪk
homely,ˈhoʊmɫi
homemade,ˈhoʊˈmeɪd
homeopathic,ˌhoʊmioʊˈpæθək
homeostatic,ˌhoʊmioʊˈstætɪk
homesick,ˈhoʊmˌsɪk
homespun,ˈhoʊmˌspən
homeward,ˈhoʊmwɝd
homicidal,ˌhɑməˈsaɪdəɫ
homiletic,ˌhɑməˈɫɛtɪk
homing,ˈhoʊmɪŋ
homogeneous,ˌhoʊməˈdʒiniəs
homogenized,hoʊˈmɑdʒəˌnaɪzd
homologous,hɑˈmɑɫəɡəs
homophobic,ˌhoʊməˈfoʊbɪk
homosexual,ˌhoʊmoʊˈsɛkˌʃəwəɫ
homosporous,ˌhoʊmoʊˌspɝəs
homozygous,ˌhoʊmoʊˈzaɪɡəs
honest,ˈɑnəst
honey,ˈhəni
honorable,ˈɑnɝəbəɫ
honorary,ˈɑnɝˌɛɹi
honorific,ˌɑnɝˈɪfɪk
hopeful,ˈhoʊpfəɫ
hopeless,ˈhoʊpɫəs
horizontal,ˌhɔɹəˈzɑntəɫ
hormonal,ˈhɔɹˌmoʊnəɫ
horned,ˈhɔɹnd
hornless,ˈhɔɹnɫəs
horny,ˈhɔɹni
horrified,ˈhɔɹəˌfaɪd
horticultural,ˌhɔɹtəˈkəɫtʃɝəɫ
hospitable,ˈhɑˈspɪtəbəɫ
hostile,ˈhɑstəɫ
hot,ˈhɑt
hourlong,ˈaʊɹˌɫɔŋ
housebroken,ˈhaʊsˌbɹoʊkən
huddled,ˈhədəɫd
huffy,ˈhəfi
huge,ˈhjudʒ
hulking,ˈhəɫkɪŋ
human,ˈhjumən
humane,hjuˈmeɪn
humanist,ˈhjumənɪst
humanistic,ˌhjuməˈnɪstɪk
humanitarian,ˌhjuˌmænəˈtɛɹiən
humble,ˈhəmbəɫ
humdrum,ˈhəmˌdɹəm
humid,ˈhjuməd
humongous,hjuˈmɔŋɡəs
humoral,ˈhjumɝəɫ
humorless,ˈhjumɝɫəs
humorous,ˈhjumɝəs
hunched,ˈhəntʃt
hundred,ˈhəndɝd
hundredth,ˈhəndɹədθ
hung,ˈhəŋ
hungry,ˈhəŋɡɹi
hunted,ˈhənəd
hurried,ˈhɝid
hurt,ˈhɝt
hurtful,ˈhɝtfəɫ
hushed,ˈhəʃt
hydraulic,haɪˈdɹɔɫɪk
hydrocephalic,ˌhaɪdɹoʊsɛˈfɑɫɪk
hydroelectric,ˌhaɪdɹoʊɪˈɫɛktɹɪk
hydrographic,ˌhaɪdɹəˈɡɹæfɪk
hydrophilic,ˌhaɪdɹəˈfɪɫɪk
hydrous,ˈhaɪdɹəs
hydroxy,ˌhaɪˈdɹɔksi
hymeneal,ˌhɪməˈniəɫ
hyperactive,ˌhaɪpɝˈæktɪv
hyperbolic,ˌhaɪpɝˈbɑɫɪk
hypercritical,ˌhaɪpɝˈkɹɪtɪkəɫ
hypertensive,ˌhaɪpɝˈtɛnsɪv
hypertonic,ˌhaɪpɝˈtɑnɪk
hyphenated,ˈhaɪfəˌneɪtɪd
hypnotic,hɪpˈnɑtɪk
hypochondriac,ˌhaɪpəˈkɑndɹiæk
hypocritical,ˌhɪpəˈkɹɪtɪkəɫ
hypodermic,ˌhaɪpəˈdɝmɪk
hypoglycemic,ˌhaɪpoʊɡɫaɪˈsimɪk
hypothalamic,ˌhaɪpoʊθəˈɫæmɪk
hysteric,ˌhɪsˈtɛɹɪk
hysterical,hɪˈstɛɹɪkəɫ
iconic,ˌaɪˈkɑnɪk
iconoclastic,ˌaɪkənəˈkɫæstɪk
ideal,aɪˈdiɫ
idealized,aɪˈdiəˌɫaɪzd
identical,aɪˈdɛntɪkəɫ
identifiable,aɪˈdɛntəˌfaɪəbəɫ
identified,aɪˈdɛntəˌfaɪd
idiomatic,ˌɪdiəˈmætɪk
idiopathic,ˌɪdioʊˈpæθək
idiosyncratic,ˌɪdioʊˌsɪnˈkɹætɪk
idle,ˈaɪdəɫ
idolatrous,aɪˈdɑɫətɹəs
idyllic,aɪˈdɪɫɪk
igneous,ˈɪɡniəs
ignited,ˌɪɡˈnaɪtɪd
ignoble,ˌɪɡˈnoʊbəɫ
ignored,ˌɪɡˈnɔɹd
ill,ˈɪɫ
illegal,ˌɪˈɫiɡəɫ
illegible,ˌɪˈɫɛdʒəbəɫ
illegitimate,ˌɪɫɪˈdʒɪtəmɪt
illicit,ˌɪˈɫɪsət
illiterate,ˌɪˈɫɪtɝət
illogical,ˌɪˈɫɑdʒɪkəɫ
illuminated,ˌɪˈɫuməˌneɪtəd
illusive,ˌɪˈɫusɪv
imitative,ˈɪməˌteɪtɪv
immaculate,ˌɪˈmækjuɫɪt
immanent,ˈɪmənənt
immaterial,ˌɪməˈtɪɹiəɫ
immature,ˌɪmətˈjʊɹ
immeasurable,ˌɪˈmɛʒɝˌæbəɫ
immediate,ˌɪˈmiˌdiət
immemorial,ˌɪməˈmɔɹiəɫ
immiscible,ˌɪˈmɪsəbəɫ
immobile,ˌɪˈmoʊˌbaɪɫ
immoral,ˌɪˈmɔɹəɫ
immortal,ˌɪˈmɔɹtəɫ
immovable,ˌɪˈmuvəbəɫ
immune,ˌɪmˈjun
immunized,ˈɪmjəˌnaɪzd
immunological,ˌɪmjunəˈɫɑdʒɪkəɫ
immutable,ˌɪmˈjutəbəɫ
impacted,ˈɪmˌpæktɪd
impaired,ˌɪmˈpɛɹd
impartial,ˌɪmˈpɑɹʃəɫ
impassable,ˌɪmˈpæsəbəɫ
impatient,ˌɪmˈpeɪʃənt
impeccable,ˌɪmˈpɛkəbəɫ
impeded,ˌɪmˈpidɪd
impenetrable,ˌɪmˈpɛnətɹəbəɫ
imperative,ˌɪmˈpɛɹətɪv
imperceptible,ˌɪmpɝˈsɛptɪbəɫ
imperfect,ˌɪmˈpɝfɪkt
imperial,ˌɪmˈpɪɹiəɫ
imperialistic,ˌɪmˌpiɹiəˈɫɪstɪk
imperious,ˌɪmˈpɪɹiəs
impermissible,ˌɪmpɝˈmɪsɪbəɫ
impersonal,ˌɪmˈpɝsənəɫ
impertinent,ˌɪmˈpɝtənənt
impervious,ˌɪmˈpɝviəs
impious,ˌɪmˈpaɪəs
implacable,ˌɪmˈpɫækəbəɫ
implausible,ˌɪmˈpɫɔzəbəɫ
implicated,ˈɪmpɫɪˌkeɪtɪd
impolite,ˌɪmpəˈɫaɪt
impolitic,ˌɪmpɔˈɫɪˌtɪk
imponderable,ˌɪmˈpɑndɝəbəɫ
important,ˌɪmˈpɔɹtənt
impossible,ˌɪmˈpɑsəbəɫ
impotent,ˈɪmpətənt
impracticable,ˌɪmˈpɹæktɪkəbəɫ
impractical,ˌɪmˈpɹæktəkəɫ
imprecise,ˈɪmpɹəˌsaɪs
impregnable,ˌɪmˈpɹɛɡnəbəɫ
impressed,ˌɪmˈpɹɛst
impressionable,ˌɪmˈpɹɛʃənəbəɫ
impressionist,ˌɪmˈpɹɛʃənəst
impressionistic,ˌɪmˌpɹɛʃəˈnɪstɪk
impressive,ˌɪmˈpɹɛsɪv
improbable,ˌɪmˈpɹɑbəbəɫ
improper,ˌɪmˈpɹɑpɝ
improved,ˌɪmˈpɹuvd
improving,ˌɪmˈpɹuvɪŋ
improvised,ˈɪmpɹəˌvaɪzd
imprudent,ˌɪmˈpɹudənt
impulsive,ˌɪmˈpəɫsɪv
impure,ˌɪmˈpjʊɹ
in,ˈɪn
inaccessible,ˌɪnəkˈsɛsəbəɫ
inaccurate,ˌɪˈnækjɝət
inactive,ˌɪˈnæktɪv
inadequate,ˌɪˈnædəˌkweɪt
inadmissible,ˌɪnædˈmɪsəbəɫ
inadvisable,ˌɪnædˈvaɪzəbəɫ
inalienable,ˌɪˈneɪɫjənəbəɫ
inanimate,ˌɪˈnænəmət
inapplicable,ˌɪˈnæpɫɪkəbəɫ
inappropriate,ˌɪnəˈpɹoʊpɹiɪt
inarticulate,ˌɪnɑɹˈtɪkjəɫət
inattentive,ˌɪnəˈtɛntɪv
inaudible,ˌɪˈnɔdəbəɫ
inaugural,ˌɪˈnɔɡɝəɫ
inauspicious,ˌɪˌnaʊˈspɪʃɪs
inboard,ˈɪnˌbɔɹd
inbred,ˈɪnˌbɹɛd
incalculable,ˌɪnˈkæɫkjəɫəbəɫ
incandescent,ˌɪnkənˈdɛsənt
incapable,ˌɪnˈkeɪpəbəɫ
incarnate,ˌɪnˈkɑɹˌneɪt
incendiary,ˌɪnˈsɛndiɛɹi
incestuous,ˌɪnˈsɛstʃwəs
incident,ˈɪnsədənt
incidental,ˌɪnsɪˈdɛntəɫ
incipient,ˌɪnˈsɪpiənt
incised,ˌɪnˈsaɪzd
inclement,ˈɪnkɫɪmənt
inclined,ˌɪnˈkɫaɪnd
included,ˌɪnˈkɫudəd
inclusive,ˌɪnˈkɫusɪv
incognito,ˌɪnkɔɡˈnitoʊ
incoherent,ˌɪnkoʊˈhɪɹənt
incoming,ˈɪnˌkəmɪŋ
incommunicado,ˌɪnkəmˌjunəˈkɑdoʊ
incomparable,ˌɪnˈkɑmpɝəbəɫ
incompatible,ˌɪnkəmˈpætəbəɫ
incompetent,ˌɪnˈkɑmpətənt
incomplete,ˌɪnkəmˈpɫit
incomprehensible,ˌɪŋˌkɑmpɹəˈhɛnsɪbəɫ
incompressible,ˌɪnkəmˈpɹɛsəbəɫ
inconclusive,ˌɪnkənˈkɫusɪv
incongruous,ˌɪŋˈkɔŋɹuəs
inconsequential,ˌɪŋˌkɑnsəˈkwɛntʃəɫ
inconsistent,ˌɪnkənˈsɪstənt
inconspicuous,ˌɪŋˈkɑnspɪkwəs
incontinent,ˌɪnˈkɑntənənt
incontrovertible,ˌɪŋˌkɑntɹoʊˈvɝtɪbəɫ
inconvenient,ˌɪnkənˈvinjənt
incorporate,ˌɪnˈkɔɹpɝˌeɪt
incorporated,ˌɪnˈkɔɹpɝˌeɪtɪd
incorrect,ˌɪnkɝˈɛkt
incorrigible,ˌɪnˈkɑɹədʒəbəɫ
increasing,ˌɪnˈkɹisɪŋ
incredible,ˌɪnˈkɹɛdəbəɫ
incredulous,ˌɪnˈkɹɛdʒəɫəs
incumbent,ˌɪnˈkəmbənt
incurable,ˌɪnˈkjʊɹəbəɫ
indebted,ˌɪnˈdɛtɪd
indecent,ˌɪnˈdisənt
indecisive,ˌɪndɪˈsaɪsɪv
indefeasible,ˌɪdəˈfizəbəɫ
indefensible,ˌɪndɪˈfɛnsəbəɫ
indefinable,ˌɪndɪˈfaɪnəbəɫ
indefinite,ˌɪnˈdɛfənət
indelicate,ˌɪnˈdɛɫɪkət
independent,ˌɪndɪˈpɛndənt
indestructible,ˌɪndəˈstɹəktɪbəɫ
indeterminate,ˌɪndɪˈtɝmɪnɪt
indicative,ˌɪnˈdɪkətɪv
indie,ˈɪndi
indifferent,ˌɪnˈdɪfɝənt
indignant,ˌɪnˈdɪɡnənt
indirect,ˌɪndɝˈɛkt
indiscreet,ˌɪndɪsˈkɹit
indiscriminate,ˌɪndɪsˈkɹɪmənət
indisputable,ˌɪndɪˈspjutəbəɫ
indistinct,ˌɪndɪˈstɪŋkt
indistinguishable,ˌɪndɪˈstɪŋɡwɪʃəbəɫ
individual,ˌɪndəˈvɪdʒəwəɫ
individualist,ˌɪndɪvɪˈduəɫɪst
individualistic,ˌɪndɪˌvɪdʒuəˈɫɪstɪk
individualized,ˌɪndɪˈvɪdʒəɫaɪzd
indivisible,ˌɪndɪˈvɪsɪbəɫ
indolent,ˈɪndəɫənt
indomitable,ˌɪnˈdɑmətəbəɫ
indoor,ˈɪnˌdɔɹ
induced,ˌɪnˈdust
inductive,ˌɪnˈdəktɪv
indulgent,ˌɪnˈdəɫdʒənt
industrial,ˌɪnˈdəstɹiəɫ
industrialized,ˌɪnˈdəstɹiəˌɫaɪzd
ineffable,ˌɪˈnɛfəbəɫ
ineffective,ˌɪnɪˈfɛktɪv
ineligible,ˌɪˈnɛɫɪdʒəbəɫ
inert,ˌɪˈnɝt
inertial,ˌɪˈnɝʃəɫ
inevitable,ˌɪˈnɛvətəbəɫ
inexcusable,ˌɪnɪkˈskjuzəbəɫ
infantile,ˈɪnfəntɪɫ
infectious,ˌɪnˈfɛkʃəs
infective,ˌɪnˈfɛktɪv
inferential,ˌɪnfɝˈɛnʃəɫ
inferior,ˌɪnˈfɪɹiɝ
infernal,ˌɪnˈfɝnəɫ
infinitesimal,ˌɪnfɪnɪˈtɛsɪməɫ
inflamed,ɪnˈfɫeɪmd
inflammatory,ɪnˈfɫæməˌtɔɹi
inflationary,ˌɪnˈfɫeɪʃəˌnɛɹi
inflected,ˌɪnˈfɫɛktəd
influential,ˌɪnfɫuˈɛnʃəɫ
informal,ˌɪnˈfɔɹməɫ
informational,ˌɪnfɝˈmeɪʃənəɫ
informative,ˌɪnˈfɔɹmətɪv
informed,ˌɪnˈfɔɹmd
ingenuous,ˌɪnˈdʒɛnjuəs
ingratiating,ˌɪŋˈɡɹeɪʃiˌeɪtɪŋ
inhabited,ˌɪnˈhæbətəd
inhalant,ˌɪnˈheɪɫənt
inheritable,ˌɪnˈhɛɹətəbəɫ
inheriting,ˌɪnˈhɛɹətɪŋ
inhibited,ˌɪnˈhɪbətɪd
inhibitory,ˌɪnˈhɪbəˌtɔɹi
inhospitable,ˌɪnhɑˈspɪtəbəɫ
inhuman,ˌɪnˈhjumən
inhumane,ˌɪnhjuˈmeɪn
inimitable,ˌɪˈnɪmətəbəɫ
injectable,ˌɪnˈdʒɛktəbəɫ
injudicious,ˌɪnˌdʒəˈdɪʃəs
injured,ˈɪndʒɝd
inlaid,ˈɪnˌɫeɪd
inland,ˈɪnˌɫænd
inner,ˈɪnɝ
innocent,ˈɪnəsənt
innocuous,ˌɪˈnɑkjuəs
innovative,ˈɪnəˌveɪtɪv
inoffensive,ˌɪnəˈfɛnsɪv
inoperable,ˌɪˈnɑpɝəbəɫ
inopportune,ˌɪˌnɑpɝˈtun
inorganic,ˌɪnɔɹˈɡænɪk
inquisitive,ˌɪnˈkwɪzɪtɪv
insane,ˌɪnˈseɪn
inscribed,ˌɪnsˈkɹaɪbd
insectivorous,ˌɪnsɛkˈtɪvɝəs
insecure,ˈɪnsəkjɝ
insensible,ˌɪnˈsɛnsəbəɫ
insensitive,ˌɪnˈsɛnsətɪv
inseparable,ˌɪnˈsɛpɝəbəɫ
inshore,ˈɪnˈʃɔɹ
inside,ˈɪnˌsaɪd
insidious,ˌɪnˈsɪˌdiəs
insightful,ˈɪnˌsaɪtfəɫ
insignificant,ˌɪnsɪɡˈnjɪfɪkənt
insincere,ˌɪnsɪnˈsɪɹ
insipid,ˌɪnˈsɪpəd
insistent,ˌɪnˈsɪstənt
insoluble,ˌɪnˈsɑɫjəbəɫ
insolvent,ˌɪnˈsɑɫvənt
insomniac,ˌɪnˈsɑmniˌæk
inspirational,ˌɪnspɝˈeɪʃənəɫ
inspiring,ˌɪnˈspaɪɝɪŋ
instant,ˈɪnstənt
institutional,ˌɪnstɪˈtuʃənəɫ
institutionalized,ˌɪnstɪˈtuʃənəˌɫaɪzd
instructional,ˌɪnˈstɹəkʃənəɫ
instructive,ˌɪnˈstɹəktɪv
instrumental,ˌɪnstɹəˈmɛnəɫ
insubordinate,ˌɪnsəˈbɔɹdəˌneɪt
insubstantial,ˌɪnsəbˈstænʃəɫ
insufficient,ˌɪnsəˈfɪʃənt
insular,ˈɪnsəɫɝ
insured,ˌɪnˈʃʊɹd
insurmountable,ˌɪnsɝˈmaʊntəbəɫ
intact,ˌɪnˈtækt
intangible,ˌɪnˈtændʒəbəɫ
integral,ˈɪnəɡɹəɫ
integrated,ˈɪnəˌɡɹeɪtəd
intellectual,ˌɪnəˈɫɛktʃuəɫ
intelligent,ˌɪnˈtɛɫədʒənt
intelligible,ˌɪnˈtɛɫədʒəbəɫ
intemperate,ˌɪnˈtɛmpɝət
intended,ˌɪnˈtɛndɪd
intense,ˌɪnˈtɛns
intensified,ɪnˈtɛnsəˌfaɪd
intensifying,ɪnˈtɛnsəˌfaɪɪŋ
intensive,ˌɪnˈtɛnsɪv
interbred,ˌɪntɝˈbɹɛd
intercellular,ˌɪntɝˈsɛɫjəɫɝ
interchangeable,ˌɪnɝˈtʃeɪndʒəbəɫ
intercollegiate,ˌɪntɝkəˈɫidʒət
interconnected,ˌɪntɝkəˈnɛktɪd
intercontinental,ˌɪntɝˌkɑntəˈnɛntəɫ
interdependent,ˌɪntɝdɪˈpɛndənt
interdisciplinary,ˌɪntɝˈdɪsəpɫəˌnɛɹi
interested,ˈɪntɝəstəd
interesting,ˈɪntɝəstɪŋ
interfaith,ˌɪntɝˈfeɪθ
interfering,ˌɪnɝˈfɪɹɪŋ
interim,ˈɪnɝəm
interior,ˌɪnˈtɪɹiɝ
intermittent,ˌɪntɝˈmɪtənt
intermolecular,ˌɪntɝməˈɫɛkjəɫɝ
